subid,subage,trial,agent,discourseNovel,mutExNovel,pick,novelObject,correct,age_num,age,alignment,item
190603_4_com,3,9,Beaver,left,right,t19,t19,1,3.169634703196347,1.1342465753424658,incongruent,papaya
190603_4_com,3,10,Sheep,right,right,t13,t13,1,3.169634703196347,1.1342465753424658,congruent,duck
190603_4_com,3,11,Monkey,right,left,kite,t14,0,3.169634703196347,1.1342465753424658,incongruent,kite
190603_4_com,3,12,Cat,left,right,barrel,t21,0,3.169634703196347,1.1342465753424658,incongruent,barrel
190603_5_com,2,1,Sheep,right,left,eggplant,t20,0,2.2436073059360733,0.2082191780821918,incongruent,eggplant
190603_5_com,2,2,Tiger,right,right,barrel,t15,0,2.2436073059360733,0.2082191780821918,congruent,barrel
190603_5_com,2,3,Bear,right,right,t19,t19,1,2.2436073059360733,0.2082191780821918,congruent,carrot
190603_5_com,2,4,Beaver,left,right,papaya,t01,0,2.2436073059360733,0.2082191780821918,incongruent,papaya
190603_5_com,2,5,Elephant,left,right,kite,t12,0,2.2436073059360733,0.2082191780821918,incongruent,kite
190603_5_com,2,6,Dog,left,left,t03,t03,1,2.2436073059360733,0.2082191780821918,congruent,garlic
190603_6_com,4,1,Monkey,right,left,plug,t12,0,4.405251141552512,2.3698630136986303,incongruent,plug
190603_6_com,4,2,Cat,right,left,t09,t09,1,4.405251141552512,2.3698630136986303,incongruent,bread
190603_6_com,4,3,Dog,left,left,t21,t21,1,4.405251141552512,2.3698630136986303,congruent,kite
190603_6_com,4,4,Bunny,right,right,barrel,t19,0,4.405251141552512,2.3698630136986303,congruent,barrel
190603_6_com,4,5,Bear,left,right,horseshoe,t20,0,4.405251141552512,2.3698630136986303,incongruent,horseshoe
190603_6_com,4,6,Beaver,left,left,t16,t16,1,4.405251141552512,2.3698630136986303,congruent,carrot
190603_6_com,4,7,Pig,left,right,t08,t08,1,4.405251141552512,2.3698630136986303,incongruent,garlic
190603_6_com,4,8,Mouse,left,right,pawn,t11,0,4.405251141552512,2.3698630136986303,incongruent,pawn
190603_6_com,4,9,Tiger,right,right,t15,t15,1,4.405251141552512,2.3698630136986303,congruent,duck
190603_6_com,4,10,Elephant,left,left,t07,t07,1,4.405251141552512,2.3698630136986303,congruent,eggplant
190603_6_com,4,11,Frog,right,left,t14,t14,1,4.405251141552512,2.3698630136986303,incongruent,apple
190603_6_com,4,12,Sheep,right,right,t04,t04,1,4.405251141552512,2.3698630136986303,congruent,papaya
190603_7_com,2,1,Tiger,left,right,bread,t01,0,2.8929223744292236,0.8575342465753422,incongruent,bread
190603_7_com,2,2,Pig,right,left,pawn,t09,0,2.8929223744292236,0.8575342465753422,incongruent,pawn
190603_7_com,2,3,Frog,left,left,t20,t20,1,2.8929223744292236,0.8575342465753422,congruent,carrot
190603_7_com,2,4,Cat,right,right,plug,t16,0,2.8929223744292236,0.8575342465753422,congruent,plug
190603_7_com,2,5,Monkey,right,right,t14,t14,1,2.8929223744292236,0.8575342465753422,congruent,eggplant
190603_7_com,2,6,Mouse,left,right,t21,t21,1,2.8929223744292236,0.8575342465753422,incongruent,garlic
190603_8_com,2,1,Elephant,right,right,t13,t13,1,2.9668949771689497,0.9315068493150682,congruent,barrel
190603_8_com,2,2,Dog,left,right,t09,t09,1,2.9668949771689497,0.9315068493150682,incongruent,papaya
190603_8_com,2,3,Frog,left,left,horseshoe,t11,0,2.9668949771689497,0.9315068493150682,congruent,horseshoe
190603_8_com,2,4,Beaver,right,right,t14,t14,1,2.9668949771689497,0.9315068493150682,congruent,pawn
190603_8_com,2,5,Monkey,left,right,t16,t16,1,2.9668949771689497,0.9315068493150682,incongruent,plug
190603_8_com,2,6,Pig,right,left,t20,t20,1,2.9668949771689497,0.9315068493150682,incongruent,kite
190603_8_com,2,7,Sheep,left,right,t02,t02,1,2.9668949771689497,0.9315068493150682,incongruent,apple
190603_8_com,2,8,Bear,left,left,t12,t12,1,2.9668949771689497,0.9315068493150682,congruent,bread
